197,2-90,鸡蛋,ji1 dan4,"(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]",,
198,3-198,几乎,ji1 hu1,almost; nearly; practically,,
199,3-199,机会,ji1 hui4,opportunity; chance; occasion; CL:個|个[ge4],,
200,3-200,极,ji2,"extremely; pole (geography, physics); utmost; top",,
201,1-44,几,ji3,how much; how many; several; a few,,
202,3-202,记得,ji4 de5,to remember,,
203,3-203,季节,ji4 jie2,time; season; period; CL:個|个[ge4],,
204,1-45,家,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]",,
205,3-205,检查,jian3 cha2,inspection; to examine; to inspect; CL:次[ci4],,
206,3-206,简单,jian3 dan1,simple; not complicated,,
207,2-93,件,jian4,"item; component; classifier for events, things, clothes etc",,
208,3-208,健康,jian4 kang1,health; healthy,,
209,3-209,见面,jian4 mian4,to meet; to see sb; CL:次[ci4],,
210,3-210,讲,jiang3,to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture,,
211,3-211,教,jiao1,to teach,,
212,3-212,脚,jiao3,"foot; leg; base; kick; CL:雙|双[shuang1],隻|只[zhi1]",,
213,3-213,角,jiao3,angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4],,
214,1-46,叫,jiao4,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),,
215,2-95,教室,jiao4 shi4,classroom; CL:間|间[jian1],,
216,3-216,接,jie1,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb,,
217,3-217,街道,jie1 dao4,street; CL:條|条[tiao2],,
218,3-218,结婚,jie2 hun1,to marry; to get married; CL:次[ci4],,
219,3-219,结束,jie2 shu4,termination; to finish; to end; to conclude; to close,,
220,3-220,节目,jie2 mu4,"program; item (on a program); CL:臺|台[tai2],個|个[ge4],套[tao4]",,
221,3-221,节日,jie2 ri4,holiday; festival; CL:個|个[ge4],,
222,2-96,姐姐,jie3 jie5,older sister; CL:個|个[ge4],,
223,3-223,解决,jie3 jue2,to settle (a dispute); to resolve; to solve,,
224,3-224,借,jie4,to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity),,
225,2-97,介绍,jie4 shao4,to present; to introduce; to recommend; to suggest; to let know; to brief,,
226,1-47,今天,jin1 tian1,today; at the present; now,,
227,2-99,进,jin4,"to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",,
228,2-100,近,jin4,near; close to; approximately,,
229,3-229,经常,jing1 chang2,day to day; everyday; daily; frequently; constantly; regularly; often,,
230,3-230,经过,jing1 guo4,to pass; to go through; process; course; CL:個|个[ge4],,
231,3-231,经理,jing1 li3,"manager; director; CL:個|个[ge4],位[wei4],名[ming2]",,
232,1-48,九,jiu3,nine; 9,,
233,3-233,久,jiu3,(long) time; (long) duration of time,,
234,3-234,旧,jiu4,old; opposite: new 新; former; worn (with age),,
235,2-102,就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,,
236,3-236,举行,ju3 xing2,"to hold (a meeting, ceremony etc)",,
237,3-237,句子,ju4 zi5,sentence; CL:個|个[ge4],,
238,2-103,觉得,jue2 de5,to think; to feel,,
239,3-239,决定,jue2 ding4,"to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly",,
240,2-104,咖啡,ka1 fei1,coffee; CL:杯[bei1],,
241,1-49,开,kai1,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,,
242,2-106,开始,kai1 shi3,to begin; beginning; to start; initial; CL:個|个[ge4],,
243,1-50,看,kan4,to see; to look at; to read; to watch; to consider; to regard as; to view as; to treat as; to judge; (after repeated verb) to give it a try; depending on (how you're judging); to visit; to call on; to treat (an illness); to look after; Watch out! (for a danger),,
244,1-51,看见,kan4 jian4,to see; to catch sight of,,
245,2-109,考试,kao3 shi4,exam; CL:次[ci4],,
246,3-246,渴,ke3,thirsty,,
247,3-247,可爱,ke3 ai4,amiable; cute; lovely,,
248,2-110,可能,ke3 neng2,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4],,
249,2-111,可以,ke3 yi3,can; may; possible; able to,,
250,3-250,刻,ke4,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,,
251,2-112,课,ke4,"subject; course; class; lesson; CL:堂[tang2],节|節[jie2],門|门[men2]",,
252,3-252,客人,ke4 ren2,visitor; guest; customer; client; CL:位[wei4],,
253,3-253,空调,kong1 tiao2,air conditioning,,
254,3-254,口,kou3,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)",,
255,3-255,哭,ku1,to cry; to weep,,
256,3-256,裤子,ku4 zi5,trousers; pants; CL:條|条[tiao2],,
257,1-52,块,kuai4,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",,
258,2-114,快,kuai4,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,,
259,2-115,快乐,kuai4 le4,happy; merry,,
